employee_id,department,job_role_level,education_level,performance_rating,years_at_company,years_since_last_promotion,monthly_salary_kes,overtime_hours_per_month,job_satisfaction_score,work_life_balance_score,distance_from_home_km,num_companies_worked_previously,remote_work_days_per_week,bonus_amount_kes,attrition
100,Operations,Junior,Diploma,Average,5.4,3.7,49316.0,28.3,3.1,2.4,8.6,1,4,,No
101,Operations,Junior,Bachelor's,High,12.4,4.2,54639.0,4.5,2.8,3.1,7.5,2,0,,No
102,Finance,Mid,Bachelor's,High,3.4,1.9,113163.0,11.1,3.6,4.6,9.3,3,0,12355.542138559325,No
103,Sales,Mid,Bachelor's,Average,2.2,0.5,99589.0,11.6,2.9,2.8,15.0,1,4,46979.031331440354,No
104,Operations,Mid,Diploma,Average,6.3,3.0,116171.0,8.8,3.6,5.0,15.0,1,2,,No
105,Engineering,Junior,Bachelor's,Low,4.2,1.4,49236.0,7.7,4.1,4.2,8.0,0,1,37274.24659359693,No
106,Sales,Lead,Bachelor's,Average,6.8,4.3,101517.0,4.9,2.7,2.8,13.7,3,4,33583.47840851032,No
107,Finance,Junior,Bachelor's,Outstanding,5.5,2.5,41503.0,19.9,3.6,2.7,7.2,2,0,2623.3607231001683,No
108,Finance,Junior,Bachelor's,High,3.0,2.7,47855.0,30.6,4.3,3.4,2.3,1,5,7912.774707188794,No
109,Sales,Mid,Bachelor's,Average,2.6,1.8,107586.0,9.2,4.1,2.7,31.8,2,5,55619.904533264365,No
110,Operations,Junior,Bachelor's,Low,4.3,3.6,42555.0,1.9,3.0,4.7,10.2,1,1,,No
111,Finance,Lead,Bachelor's,Average,0.4,0.3,160867.0,24.4,1.5,2.7,1.6,1,1,4979.945300207292,No
112,Operations,Lead,Bachelor's,High,0.9,0.8,228883.0,10.5,2.2,1.9,10.7,0,4,,No
113,Operations,Mid,Diploma,Outstanding,2.8,2.2,92525.0,13.9,3.5,2.0,7.4,3,3,,No
114,Operations,Senior,Master's,Low,9.1,7.9,60397.0,11.7,1.2,4.7,29.3,0,5,,Yes
115,Finance,Lead,Bachelor's,Low,4.9,2.7,113160.0,3.4,4.5,2.4,9.3,1,5,7508.119762213853,No
116,Operations,Junior,Diploma,High,8.7,3.7,42946.0,16.1,3.3,2.5,19.5,2,3,,No
117,Operations,Senior,Master's,Average,8.3,2.4,120049.0,14.1,3.6,3.3,8.8,3,4,,No
118,Operations,Mid,Bachelor's,High,3.4,1.2,113824.0,3.1,3.6,3.4,21.5,2,4,,No
119,Finance,Mid,Bachelor's,Average,3.8,1.1,58768.0,35.1,4.5,1.8,19.5,2,0,29727.195884011046,No
120,Sales,Junior,Bachelor's,High,4.2,3.4,75177.0,25.3,1.0,3.6,6.5,2,1,6825.58357111022,Yes
121,Sales,Mid,Bachelor's,Average,5.6,1.4,100137.0,27.7,3.2,4.4,6.6,3,5,39760.69050724582,No
122,HR,Mid,Bachelor's,High,2.2,1.9,80146.0,12.6,2.5,,8.3,1,5,45701.57959085754,No
123,Finance,Mid,Bachelor's,Average,9.2,3.3,112077.0,13.6,2.5,3.4,29.9,0,3,32088.415601103123,No
124,Operations,Lead,Bachelor's,High,9.4,6.7,157411.0,15.0,3.3,4.7,5.3,1,4,,No
125,Operations,Junior,Bachelor's,High,2.0,1.7,41033.0,2.2,1.6,4.8,6.2,2,5,,No
126,Engineering,Junior,Diploma,Average,23.2,15.0,40326.0,27.6,2.3,5.0,6.5,2,1,38129.40631867488,Yes
127,Operations,Senior,Bachelor's,Outstanding,9.6,1.9,184749.0,5.4,3.9,2.6,18.6,1,2,,No
128,Operations,Senior,Bachelor's,High,5.1,2.0,95745.0,18.8,3.7,3.3,12.7,4,5,,No
129,HR,Junior,Bachelor's,High,6.4,2.3,67037.0,12.5,4.8,1.6,6.2,2,2,25204.88679888354,No
130,Finance,Junior,Bachelor's,Average,3.1,0.7,48366.0,12.1,2.5,2.5,25.7,1,2,3003.4573263946595,No
131,Sales,Junior,Bachelor's,Average,1.8,1.4,42194.0,5.2,3.4,2.5,7.9,2,2,51991.86851215705,No
132,Finance,Mid,Bachelor's,Outstanding,9.0,2.4,113849.0,28.1,2.2,2.2,7.8,2,2,22689.762486511747,No
133,Sales,Lead,Master's,Average,6.1,3.8,162792.0,11.9,3.5,4.1,14.2,0,3,58707.154848607315,No
134,Engineering,Junior,Bachelor's,Average,2.2,1.1,51404.0,6.3,5.0,2.5,38.1,1,2,59903.63932815756,No
135,Finance,Junior,Bachelor's,Average,4.3,2.4,62343.0,3.9,3.2,3.7,25.6,3,1,49417.31312486829,No
136,Operations,Mid,Bachelor's,Average,4.2,1.5,110075.0,10.4,2.9,2.3,17.8,0,0,,No
137,Finance,Mid,Bachelor's,Average,11.3,6.5,131295.0,11.4,2.2,3.6,24.6,3,4,23707.166186276936,No
138,Sales,Junior,Master's,High,4.2,2.6,43924.0,4.1,2.9,2.5,12.9,3,5,26589.142967308788,No
139,Engineering,Junior,Bachelor's,High,6.3,4.4,38192.0,10.1,3.7,3.6,18.3,3,3,34352.10495757708,No
140,Sales,Senior,Bachelor's,High,11.0,6.2,126628.0,22.4,1.5,2.8,1.0,0,1,71229.04988242277,Yes
141,Operations,Mid,Bachelor's,Average,8.3,5.9,88207.0,2.4,3.7,2.1,6.1,1,4,,No
142,Sales,Junior,Diploma,Average,4.4,2.5,48909.0,37.4,3.9,2.5,11.6,3,5,12283.460502539961,No
143,HR,Mid,Diploma,High,8.6,6.6,94990.0,13.8,5.0,3.3,13.6,3,2,4536.242390656443,No
144,Sales,Mid,Diploma,High,0.8,0.3,67284.0,10.6,2.7,4.2,4.6,2,1,50410.13813009674,No
145,Operations,Junior,Diploma,High,5.1,3.2,46277.0,8.9,2.9,2.0,1.4,1,1,,No
146,Engineering,Mid,Master's,High,5.1,1.6,135528.0,4.1,3.3,1.7,7.9,2,4,60418.885439822334,No
147,Finance,Junior,Master's,Average,9.6,2.7,46517.0,13.6,4.4,3.0,11.3,3,1,12168.773289377581,No
148,Engineering,Lead,Diploma,Average,3.9,3.1,168896.0,13.0,2.6,4.3,12.8,1,0,31120.777934857197,No
149,Operations,Junior,Master's,High,6.2,2.9,42247.0,5.7,1.0,3.9,27.6,1,4,,No
150,Engineering,Junior,Bachelor's,Average,5.6,5.1,33241.0,5.8,4.4,1.8,10.3,2,2,30414.823816235763,No
151,Engineering,Junior,Bachelor's,Outstanding,3.2,2.5,20000.0,9.8,3.1,2.3,20.9,3,0,43072.155340252095,No
152,Sales,Lead,Master's,Average,3.1,1.8,242756.0,19.3,4.3,4.0,5.5,0,2,18658.193458387508,No
153,Engineering,Mid,Master's,Average,1.5,0.5,66992.0,3.4,1.9,2.9,18.9,1,4,42430.64311742019,No
154,Finance,Mid,Bachelor's,High,4.1,1.8,55762.0,10.5,5.0,3.4,3.9,2,3,28143.41789683412,No
155,Finance,Mid,Master's,Average,1.8,0.6,117427.0,21.3,3.8,3.4,18.7,0,4,8745.80261693927,No
156,HR,Mid,Bachelor's,Average,3.9,3.2,76520.0,4.0,1.4,1.0,16.5,1,5,6945.723569610733,No
157,Engineering,Senior,Bachelor's,Low,9.5,6.5,152433.0,21.9,3.0,2.9,1.8,1,4,19063.042147812175,No
158,Sales,Senior,Bachelor's,High,3.2,2.0,113562.0,12.3,3.6,1.9,14.9,0,0,5045.86720852971,No
159,Engineering,Junior,Master's,Average,20.9,15.0,50655.0,12.1,2.9,2.4,6.7,1,0,35895.58265534025,Yes
160,Finance,Junior,Diploma,Average,7.5,5.2,57751.0,17.2,2.2,4.4,20.7,0,4,29819.61438301003,No
161,Engineering,Mid,Diploma,Average,2.7,1.1,55423.0,27.2,2.2,1.8,12.4,2,1,29757.11062252147,No
162,HR,Senior,Master's,High,6.7,1.7,132648.0,52.9,4.3,4.5,4.3,2,3,3861.6575569809606,No
163,Sales,Mid,Master's,Average,5.3,3.9,114229.0,10.5,3.1,4.6,7.1,0,2,37256.26289183519,No
164,Sales,Senior,Bachelor's,Average,5.4,2.5,151079.0,22.3,1.8,2.7,17.8,3,1,9882.58462456452,Yes
165,Sales,Junior,Bachelor's,Average,4.8,2.7,64587.0,15.9,3.0,5.0,13.1,3,1,14519.548144632343,No
166,Finance,Senior,Master's,Outstanding,4.4,3.0,198671.0,57.3,5.0,3.6,15.3,1,5,53343.316332005044,No
167,Sales,Junior,Master's,Low,6.0,2.6,63683.0,3.1,4.9,4.2,15.6,4,4,68860.28238268063,No
168,Operations,Mid,Bachelor's,Average,2.8,1.4,73358.0,11.0,5.0,5.0,12.7,3,2,,No
169,Engineering,Mid,Bachelor's,Average,3.6,2.3,72547.0,23.1,4.8,1.8,11.1,1,0,21185.372064502895,No
170,Operations,Junior,Diploma,Outstanding,9.7,6.3,40694.0,6.0,3.3,3.1,18.2,0,0,,No
171,Sales,Junior,Diploma,Average,0.6,0.2,54270.0,15.6,2.8,4.3,1.6,0,2,37719.125710856286,No
172,HR,Junior,Bachelor's,High,9.5,8.5,28958.0,14.8,1.7,3.6,6.4,2,4,67261.7797167712,Yes
173,Operations,Mid,Bachelor's,Average,21.5,15.0,61704.0,5.5,3.4,5.0,5.0,2,3,,No
174,Sales,Senior,PhD,High,5.1,2.3,97525.0,7.7,4.4,1.4,8.6,1,4,26603.259026530224,No
175,Operations,Junior,Bachelor's,Average,1.0,0.8,60994.0,16.0,3.3,3.6,52.0,4,1,,No
176,Operations,Senior,Bachelor's,Low,6.6,2.5,115247.0,19.0,2.0,3.4,32.8,1,2,,Yes
177,Sales,Junior,Diploma,Outstanding,5.9,1.6,63026.0,7.5,4.4,,24.0,3,3,81644.07342985366,No
178,Engineering,Lead,Diploma,High,2.9,2.5,209872.0,10.1,2.2,4.2,12.0,0,4,51029.645885518694,No
179,HR,Lead,Diploma,Outstanding,2.5,0.7,316170.0,25.9,3.9,4.8,44.9,0,1,5783.645461949671,No
180,Sales,Mid,Diploma,Average,2.1,0.5,129895.0,12.7,3.9,3.9,8.8,3,0,22785.315360938926,No
181,Finance,Senior,Diploma,Outstanding,5.7,2.8,78510.0,1.9,4.5,2.8,5.3,2,2,17638.54760720394,No
182,Engineering,Mid,Bachelor's,Low,14.7,8.6,56569.0,19.3,1.6,2.3,4.7,7,2,11767.311157813543,Yes
183,HR,Junior,Bachelor's,High,11.9,4.5,50400.0,56.0,3.8,4.5,22.8,0,0,45200.129424000195,No
184,Engineering,Senior,Master's,Average,6.0,2.4,49780.0,13.2,2.6,3.2,0.5,1,1,2859.991289971887,No
185,Operations,Mid,Bachelor's,Average,4.0,0.9,89612.0,1.4,2.9,3.4,6.2,0,4,,No
186,Sales,Mid,Master's,Average,14.4,6.3,120509.0,19.8,1.1,4.9,8.5,3,1,43197.87716735133,Yes
187,Engineering,Mid,Diploma,High,5.9,4.0,81742.0,5.2,3.4,3.1,19.6,0,3,11383.277314008456,No
188,Operations,Junior,Bachelor's,Average,2.2,0.5,56294.0,5.1,2.9,3.7,6.9,2,4,,No
189,Finance,Senior,Diploma,Average,20.8,9.1,121077.0,2.3,3.2,2.5,6.8,0,5,5780.959458112673,No
190,Sales,Junior,PhD,High,3.0,0.9,41968.0,14.0,2.3,2.0,27.4,2,2,29094.329877774464,No
191,Engineering,Mid,Diploma,High,7.5,2.1,113385.0,11.9,3.0,3.2,7.5,0,0,32434.930398550154,No
192,Sales,Senior,PhD,High,3.3,2.7,132612.0,48.0,3.2,4.0,20.6,0,5,32810.897335413916,No
193,Operations,Lead,Bachelor's,Average,2.5,1.3,75815.0,12.9,2.9,2.4,2.3,3,1,,No
194,Engineering,Junior,Bachelor's,Average,4.8,1.9,62042.0,9.0,2.5,3.4,15.4,1,4,38021.47930978589,No
195,Finance,Junior,Bachelor's,Average,1.7,1.1,55673.0,54.0,1.7,4.4,11.2,1,3,20324.308784529312,No
196,Operations,Junior,PhD,High,8.1,4.3,45774.0,19.3,2.7,4.7,8.7,4,2,,No
197,Sales,Junior,Diploma,Average,3.0,1.8,40834.0,8.6,2.9,3.5,11.2,1,0,11639.031576886382,No
198,Operations,Junior,Bachelor's,High,11.9,9.1,76191.0,3.3,2.4,3.7,19.2,2,4,,Yes
199,Engineering,Junior,PhD,Average,6.5,3.1,46162.0,12.4,2.8,1.6,13.0,1,3,96264.94291906468,No
200,Engineering,Junior,Bachelor's,Average,2.8,0.8,23761.0,6.3,3.0,3.2,1.3,2,4,34664.60965728989,No
201,Finance,Junior,Diploma,Average,3.2,2.9,52459.0,21.5,2.7,3.5,32.2,3,5,15624.615392783384,No
202,Engineering,Mid,Bachelor's,Average,4.5,2.3,28054.0,6.5,4.0,3.5,47.6,0,0,45978.87523453518,No
203,Operations,Senior,Bachelor's,High,7.7,2.4,127762.0,2.4,2.5,2.4,16.4,1,1,,No
204,Engineering,Lead,Master's,High,6.8,5.5,250489.0,6.3,3.3,3.8,8.4,2,3,30247.048578098398,No
205,Operations,Lead,Master's,High,4.2,2.7,255669.0,22.0,3.1,,13.4,3,4,,No
206,Engineering,Senior,Master's,Average,7.5,5.4,107145.0,22.1,1.6,,5.6,2,1,3805.2014681095293,Yes
207,Operations,Junior,Bachelor's,Average,5.1,1.4,61888.0,13.4,3.1,2.8,1.0,1,0,,No
208,Sales,Lead,Bachelor's,Low,4.2,2.2,203462.0,1.8,2.8,2.3,3.9,2,2,50426.45285821276,No
209,Engineering,Junior,Bachelor's,High,8.9,2.8,59690.0,61.5,3.4,3.4,13.6,2,4,74935.62977649219,No
210,Operations,Senior,PhD,Average,5.4,1.4,113937.0,13.5,4.0,3.9,11.5,0,0,,No
211,Operations,Senior,Bachelor's,Low,4.9,2.7,199762.0,11.1,1.7,4.5,12.9,1,0,,Yes
212,Engineering,Senior,PhD,Low,1.3,0.8,121597.0,14.6,4.8,3.2,5.1,2,1,52669.3171759112,No
213,Sales,Junior,Bachelor's,High,1.2,0.5,28008.0,4.1,3.1,3.5,10.3,0,5,28354.363152901886,No
214,Sales,Senior,Bachelor's,Outstanding,3.3,2.2,150618.0,12.1,3.1,4.1,10.8,2,0,58892.31755958352,No
215,Sales,Lead,Diploma,High,4.0,0.9,216309.0,8.2,3.4,2.1,7.5,2,0,56448.821353780484,No
216,Operations,Senior,Bachelor's,Outstanding,7.4,6.4,133421.0,18.8,3.7,1.8,4.9,4,4,,No
217,Operations,Mid,Bachelor's,Average,4.6,1.2,112326.0,25.2,2.4,4.6,27.4,2,3,,No
218,Engineering,Mid,Bachelor's,Outstanding,6.9,6.1,105247.0,38.8,2.6,4.4,9.8,1,0,27618.603908612924,No
219,Operations,Mid,Bachelor's,Average,3.5,1.1,157983.0,23.6,3.6,3.8,5.7,0,4,,No
220,Operations,Mid,Diploma,Low,2.6,0.5,67548.0,7.1,2.8,2.8,1.1,3,1,,No
221,Sales,Mid,PhD,High,10.8,2.7,95835.0,20.8,3.9,,5.1,3,5,24298.906190600042,No
222,Finance,Senior,Bachelor's,Average,6.7,5.0,96959.0,10.0,3.9,1.1,15.8,3,1,37620.81166328872,No
223,Engineering,Mid,Bachelor's,High,8.5,3.4,61432.0,13.2,3.5,,1.9,0,2,22459.031987303464,No
224,Finance,Lead,Master's,Outstanding,2.0,0.8,187731.0,5.2,1.8,5.0,16.2,3,0,19446.04357767935,No
225,Finance,Senior,Diploma,Average,2.8,1.6,173788.0,20.7,3.0,3.3,21.1,1,3,51762.98657958466,No
226,Engineering,Mid,Bachelor's,Average,7.5,2.5,92714.0,15.1,2.4,3.3,7.8,2,5,15931.801125343594,No
227,Sales,Junior,Master's,Average,14.7,9.0,54718.0,11.9,5.0,2.9,3.2,0,0,13449.806675421925,No
228,Sales,Mid,Master's,Average,3.1,0.7,116301.0,10.5,1.6,1.0,9.5,3,2,16292.054812489132,Yes
229,HR,Junior,Bachelor's,High,3.5,3.1,54092.0,4.2,4.3,4.0,10.8,2,0,8295.358809326834,No
