customer_id,contract_type,payment_method,internet_service,tech_support,has_multiple_lines,senior_citizen,customer_satisfaction_level,competitor_offer_recent,tenure_months,monthly_charges_kes,total_charges_kes,num_support_tickets,partner_dependents_count,avg_monthly_data_usage_gb,satisfaction_survey_score,churn
39,Month-to-Month,Mailed Check,DSL,No,Yes,No,High,No,15.0,5422.0,80754.0,3,0,36.4,4.8,No
40,One Year,Electronic Check,DSL,No,No,Yes,Medium,Yes,28.2,3705.0,107371.0,1,1,5.6,2.8,No
41,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,No,Medium,Yes,65.1,4820.0,341820.0,2,2,50.0,2.7,Yes
42,One Year,Bank Transfer,Fiber Optic,No,No,No,Medium,Yes,31.9,5168.0,160299.0,2,1,43.4,3.7,No
43,Month-to-Month,Bank Transfer,DSL,Yes,No,No,Medium,Yes,17.6,4715.0,81720.0,4,2,25.1,3.2,Yes
44,Two Year,Electronic Check,Fiber Optic,Yes,No,No,Medium,No,15.6,4552.0,69678.0,1,0,81.8,3.1,No
45,Month-to-Month,Credit Card,Fiber Optic,No,No,Yes,Medium,No,38.7,3490.0,123345.0,3,2,55.7,3.4,No
46,One Year,Credit Card,DSL,Yes,No,Yes,High,No,26.6,4898.0,132461.0,8,1,39.6,1.5,Yes
47,Month-to-Month,Bank Transfer,None,Yes,No,No,High,No,22.7,3837.0,79933.0,0,2,,4.6,No
48,Month-to-Month,Credit Card,Fiber Optic,No,No,No,Medium,No,24.6,5095.0,126122.0,4,1,66.9,1.1,Yes
49,Month-to-Month,Bank Transfer,DSL,No,No,No,Medium,No,30.2,6114.0,199206.0,1,3,29.8,4.4,Yes
50,One Year,Electronic Check,None,Yes,No,No,High,No,57.4,4849.0,273688.0,2,3,,,No
51,Two Year,Bank Transfer,Fiber Optic,Yes,No,No,High,No,56.0,2184.0,116403.0,1,2,16.9,3.5,No
52,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,No,Low,No,61.0,645.0,37744.0,5,1,87.9,,No
53,One Year,Mailed Check,DSL,No,No,No,High,No,12.4,3030.0,36016.0,1,0,30.8,2.5,No
54,Month-to-Month,Credit Card,Fiber Optic,Yes,No,No,Medium,No,11.0,3484.0,41783.0,3,0,50.5,1.8,Yes
55,Month-to-Month,Electronic Check,None,Yes,No,No,Medium,Yes,21.9,4047.0,87199.0,1,0,,2.7,Yes
56,Month-to-Month,Credit Card,None,Yes,Yes,No,Medium,Yes,20.8,2110.0,45783.0,1,1,,,No
57,One Year,Mailed Check,None,Yes,No,Yes,Low,No,29.9,4593.0,133863.0,2,3,,2.0,No
58,One Year,Electronic Check,DSL,Yes,No,No,High,No,21.6,2728.0,59137.0,2,1,75.9,4.3,No
59,One Year,Bank Transfer,None,No,No,No,Medium,No,32.7,2927.0,98949.0,1,1,,1.9,No
60,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,No,Medium,No,64.0,5499.0,406913.0,0,1,41.3,2.8,No
61,One Year,Bank Transfer,Fiber Optic,Yes,No,No,High,No,72.0,3613.0,259199.0,2,0,54.5,4.3,No
62,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,No,High,Yes,12.9,2915.0,38243.0,2,0,103.9,4.2,No
63,Month-to-Month,Bank Transfer,DSL,No,No,No,Low,No,13.3,2667.0,37634.0,0,3,107.1,,No
64,Month-to-Month,Bank Transfer,None,No,No,No,Medium,No,20.1,3514.0,72491.0,1,2,,3.7,No
65,Month-to-Month,Credit Card,DSL,Yes,No,No,Low,No,19.6,1425.0,28900.0,2,1,17.0,3.5,No
66,One Year,Mailed Check,DSL,No,No,No,Low,No,12.1,4241.0,50579.0,0,2,59.5,4.3,No
67,One Year,Mailed Check,None,No,Yes,Yes,High,No,32.5,4003.0,127769.0,1,2,,2.5,No
68,Month-to-Month,Credit Card,DSL,No,No,No,Low,No,35.4,4668.0,164744.0,1,0,7.8,3.1,No
69,One Year,Electronic Check,Fiber Optic,No,Yes,No,High,No,4.4,4113.0,17194.0,2,1,49.7,3.3,No
70,One Year,Bank Transfer,Fiber Optic,No,Yes,No,High,Yes,72.0,5051.0,332083.0,2,1,86.1,3.9,No
71,Month-to-Month,Mailed Check,DSL,No,Yes,No,High,Yes,37.4,2210.0,76030.0,1,2,14.9,3.2,Yes
72,One Year,Electronic Check,None,Yes,No,No,Low,No,7.7,4745.0,37317.0,1,2,,3.1,Yes
73,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,No,Medium,No,64.4,4832.0,286792.0,0,3,14.7,4.4,No
74,Month-to-Month,Credit Card,Fiber Optic,No,Yes,No,High,No,33.6,2189.0,75247.0,1,1,87.1,4.6,No
75,One Year,Credit Card,Fiber Optic,No,No,Yes,High,Yes,30.7,3032.0,99876.0,1,2,6.5,2.8,No
76,One Year,Electronic Check,DSL,Yes,No,No,Medium,No,5.1,4602.0,24061.0,0,3,19.9,2.6,No
77,One Year,Electronic Check,DSL,Yes,No,No,Medium,No,38.7,3833.0,131889.0,1,0,112.2,2.2,No
78,One Year,Bank Transfer,None,No,No,No,Medium,No,32.2,4957.0,162878.0,1,1,,3.5,No
79,One Year,Bank Transfer,DSL,Yes,Yes,No,Low,No,32.9,4153.0,126154.0,2,0,42.2,4.0,No
80,One Year,Credit Card,DSL,No,Yes,No,Medium,No,19.6,1527.0,31072.0,3,2,30.0,2.8,No
81,Month-to-Month,Mailed Check,None,Yes,Yes,No,High,Yes,16.6,6610.0,110300.0,5,2,,2.5,Yes
82,Month-to-Month,Credit Card,Fiber Optic,No,No,No,High,Yes,30.7,3863.0,111576.0,3,1,87.6,,No
83,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,No,High,No,14.7,5553.0,80266.0,2,3,31.4,4.3,Yes
84,Month-to-Month,Credit Card,DSL,Yes,No,Yes,Medium,Yes,30.3,4671.0,136759.0,1,1,12.5,3.4,Yes
85,Month-to-Month,Credit Card,Fiber Optic,Yes,No,No,High,Yes,4.2,7361.0,31184.0,1,1,73.2,3.6,Yes
86,Month-to-Month,Electronic Check,None,No,No,Yes,Medium,No,40.2,5253.0,227687.0,3,0,,3.1,No
87,One Year,Mailed Check,DSL,No,No,No,High,Yes,45.7,5426.0,246857.0,2,2,20.5,2.8,No
88,Month-to-Month,Credit Card,None,Yes,Yes,No,High,No,9.9,3847.0,35528.0,0,0,,3.0,No
89,Month-to-Month,Mailed Check,DSL,No,Yes,No,Medium,No,72.0,3908.0,274612.0,1,1,99.6,3.2,No
90,Month-to-Month,Bank Transfer,None,No,No,No,Medium,No,23.3,3348.0,71011.0,0,0,,3.9,No
91,Month-to-Month,Bank Transfer,Fiber Optic,Yes,No,No,High,No,69.8,4851.0,323496.0,1,1,72.0,3.2,No
92,Month-to-Month,Electronic Check,DSL,No,No,No,Medium,No,46.7,4629.0,234705.0,3,1,99.0,5.0,No
93,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,Medium,No,31.0,3741.0,119050.0,1,0,42.8,1.7,No
94,Month-to-Month,Electronic Check,DSL,No,Yes,No,Low,No,63.1,3154.0,209688.0,2,2,23.3,4.5,No
95,Month-to-Month,Electronic Check,DSL,No,Yes,No,Low,No,6.3,3179.0,19910.0,1,2,24.4,2.0,No
96,Month-to-Month,Credit Card,None,No,Yes,No,High,Yes,10.9,5649.0,66504.0,2,3,,2.9,No
97,Month-to-Month,Electronic Check,None,No,No,No,Low,No,22.1,4004.0,83557.0,1,2,,3.2,Yes
98,Month-to-Month,Mailed Check,None,No,Yes,No,Low,No,15.8,3659.0,57920.0,1,0,,3.2,No
99,One Year,Bank Transfer,Fiber Optic,No,No,Yes,Medium,No,16.8,4644.0,73498.0,1,0,43.5,3.9,No
100,Month-to-Month,Mailed Check,None,No,No,Yes,Medium,No,16.0,4878.0,76337.0,2,0,,2.6,No
101,Two Year,Credit Card,Fiber Optic,Yes,No,No,High,No,12.7,4530.0,55476.0,1,1,74.1,3.1,No
102,Month-to-Month,Credit Card,DSL,Yes,Yes,No,Low,Yes,72.0,1714.0,142112.0,0,1,31.3,3.7,No
103,One Year,Electronic Check,DSL,No,No,No,Medium,No,44.0,5893.0,243779.0,3,2,48.4,2.5,No
104,One Year,Credit Card,DSL,Yes,No,No,Medium,No,8.7,4153.0,33879.0,1,2,54.7,4.2,No
105,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Yes,No,Medium,Yes,58.4,5275.0,286594.0,1,1,58.6,3.0,No
106,One Year,Credit Card,DSL,No,No,No,Medium,No,6.3,3437.0,19312.0,1,1,28.9,5.0,No
107,One Year,Electronic Check,None,Yes,Yes,No,Low,No,66.5,3644.0,225112.0,0,0,,3.4,No
108,One Year,Electronic Check,DSL,No,No,No,Medium,Yes,10.5,4502.0,49516.0,3,3,71.5,5.0,Yes
109,One Year,Credit Card,DSL,No,Yes,No,Low,No,33.2,5390.0,176782.0,5,0,83.0,2.5,Yes
110,Month-to-Month,Mailed Check,DSL,No,No,No,High,No,44.4,3002.0,131305.0,2,1,34.2,5.0,No
111,One Year,Electronic Check,Fiber Optic,No,Yes,No,Medium,No,32.8,2910.0,94057.0,2,0,27.7,4.1,No
112,One Year,Electronic Check,Fiber Optic,No,Yes,Yes,Low,No,32.7,3557.0,112538.0,1,1,43.0,3.7,No
113,One Year,Electronic Check,Fiber Optic,No,No,No,Medium,No,23.9,6123.0,154700.0,2,1,17.8,3.7,Yes
114,One Year,Credit Card,DSL,No,Yes,Yes,High,No,16.1,4379.0,76479.0,4,2,44.3,4.0,No
115,One Year,Mailed Check,None,Yes,No,No,High,No,40.8,3513.0,148188.0,0,0,,2.3,No
116,Two Year,Bank Transfer,None,No,No,No,Low,No,19.0,1852.0,37286.0,2,0,,3.3,No
117,Two Year,Credit Card,None,No,Yes,Yes,High,No,25.4,2672.0,65023.0,4,1,,4.8,No
118,One Year,Electronic Check,Fiber Optic,No,No,Yes,Low,No,62.2,2836.0,187111.0,0,2,16.5,2.5,No
119,Month-to-Month,Electronic Check,DSL,No,No,No,High,No,22.3,1379.0,29031.0,1,0,13.6,3.8,No
120,Two Year,Bank Transfer,DSL,No,No,No,Low,No,15.1,3137.0,46557.0,0,0,65.0,2.3,No
121,Month-to-Month,Electronic Check,DSL,No,Yes,No,Low,No,62.4,4406.0,279977.0,2,1,139.1,2.6,Yes
122,Two Year,Mailed Check,DSL,No,No,No,Medium,No,22.3,4693.0,108981.0,3,1,37.0,3.8,No
123,One Year,Bank Transfer,Fiber Optic,No,No,No,High,No,34.1,4253.0,147990.0,2,1,56.8,3.4,No
124,Month-to-Month,Electronic Check,None,No,No,No,Low,No,31.8,3611.0,121113.0,2,0,,3.8,Yes
125,Two Year,Credit Card,DSL,No,No,No,Medium,Yes,19.0,1610.0,27526.0,1,1,17.9,3.1,No
126,One Year,Bank Transfer,DSL,No,No,No,Medium,Yes,16.2,5557.0,92339.0,0,0,108.7,5.0,No
127,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,High,No,31.3,4720.0,141381.0,0,3,20.5,3.0,No
128,Month-to-Month,Mailed Check,Fiber Optic,No,No,No,High,No,72.0,4285.0,270766.0,1,1,57.5,3.9,No
129,Month-to-Month,Credit Card,DSL,No,Yes,Yes,High,No,9.2,3269.0,29350.0,1,2,62.1,3.1,No
130,One Year,Bank Transfer,Fiber Optic,No,Yes,No,High,Yes,8.2,5645.0,43849.0,7,0,185.5,,Yes
131,Month-to-Month,Electronic Check,DSL,Yes,Yes,No,Medium,No,7.1,6950.0,45461.0,3,1,15.0,4.4,Yes
132,Two Year,Credit Card,DSL,Yes,No,No,Medium,No,66.5,1747.0,111727.0,1,2,51.9,3.7,No
133,Month-to-Month,Credit Card,Fiber Optic,No,Yes,No,Medium,Yes,23.2,2490.0,56301.0,2,0,24.5,3.2,No
134,Month-to-Month,Credit Card,None,Yes,No,No,High,No,29.6,4568.0,133923.0,0,1,,2.6,No
135,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,Medium,No,6.9,3982.0,28416.0,1,0,61.8,3.2,Yes
136,Month-to-Month,Credit Card,Fiber Optic,Yes,Yes,No,Medium,No,25.5,4417.0,114439.0,5,0,62.8,3.7,No
137,Two Year,Mailed Check,None,Yes,Yes,No,Medium,No,7.2,4667.0,36000.0,1,2,,3.3,No
138,Month-to-Month,Credit Card,Fiber Optic,No,No,No,Low,Yes,41.5,4753.0,199531.0,4,0,45.7,3.4,Yes
139,Two Year,Electronic Check,None,No,No,No,Medium,No,29.9,6590.0,190570.0,0,1,,4.0,No
140,Month-to-Month,Electronic Check,DSL,Yes,No,No,Low,No,24.2,2845.0,68500.0,2,0,68.9,1.1,No
141,Month-to-Month,Mailed Check,DSL,No,No,No,Low,No,27.1,4713.0,119601.0,1,1,30.1,3.0,Yes
142,One Year,Electronic Check,DSL,No,No,No,Medium,Yes,21.5,2808.0,61608.0,3,1,43.1,3.0,No
143,Month-to-Month,Mailed Check,Fiber Optic,Yes,Yes,No,Medium,No,44.6,4406.0,199867.0,1,3,15.8,4.2,No
144,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,No,High,Yes,25.3,3736.0,93418.0,3,1,19.4,4.3,No
145,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,No,Low,No,50.7,2685.0,136982.0,3,0,62.6,4.0,No
146,Month-to-Month,Electronic Check,DSL,No,No,No,High,Yes,7.2,3484.0,24185.0,2,0,46.5,3.6,No
147,One Year,Electronic Check,Fiber Optic,No,No,No,Low,No,40.8,2477.0,107361.0,0,1,59.5,2.9,No
148,Month-to-Month,Bank Transfer,Fiber Optic,No,No,No,High,No,31.8,4403.0,141548.0,2,5,82.6,2.6,No
149,One Year,Bank Transfer,DSL,No,No,No,Medium,Yes,5.4,5544.0,27357.0,6,1,28.6,2.9,Yes
150,One Year,Bank Transfer,Fiber Optic,No,Yes,No,Medium,No,15.9,4049.0,64682.0,1,1,125.4,4.6,No
151,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,No,High,No,26.4,6116.0,144121.0,1,0,31.8,1.8,Yes
152,Month-to-Month,Credit Card,DSL,Yes,No,No,High,No,10.1,5802.0,62417.0,2,0,42.5,2.5,No
153,Two Year,Bank Transfer,None,No,No,No,Medium,No,66.0,5129.0,353193.0,0,0,,4.2,No
154,Two Year,Credit Card,None,No,No,No,Medium,No,1.0,5559.0,5954.0,0,2,,2.2,No
155,Two Year,Mailed Check,Fiber Optic,Yes,No,No,High,No,12.0,1198.0,13277.0,3,3,49.4,3.3,No
156,Month-to-Month,Electronic Check,DSL,Yes,Yes,No,Low,Yes,4.6,4544.0,21697.0,6,1,53.4,3.6,Yes
157,One Year,Electronic Check,Fiber Optic,No,No,No,Low,No,12.4,2795.0,38850.0,0,3,33.9,3.6,No
158,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Yes,No,Medium,No,35.6,3235.0,113429.0,3,4,21.3,2.3,Yes
159,One Year,Mailed Check,DSL,No,Yes,Yes,Low,Yes,6.5,5250.0,31371.0,4,1,27.3,,Yes
160,One Year,Mailed Check,Fiber Optic,No,No,No,Medium,No,47.5,2789.0,128271.0,4,2,47.4,3.2,No
161,Month-to-Month,Credit Card,Fiber Optic,Yes,Yes,Yes,Low,No,17.9,3365.0,65346.0,2,1,21.8,2.8,No
162,Two Year,Mailed Check,None,No,Yes,No,Low,No,23.7,2853.0,59138.0,1,3,,5.0,No
163,One Year,Credit Card,Fiber Optic,No,No,No,High,No,20.5,3821.0,78848.0,4,0,84.4,2.6,No
164,One Year,Credit Card,Fiber Optic,Yes,Yes,No,High,No,10.6,5438.0,61438.0,0,0,53.6,4.0,No
165,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,High,No,27.9,5285.0,155161.0,0,3,49.3,3.6,No
166,One Year,Electronic Check,DSL,No,No,No,High,No,35.5,4592.0,178624.0,2,1,81.9,3.7,No
167,One Year,Credit Card,Fiber Optic,Yes,Yes,No,Low,No,42.5,4854.0,218380.0,0,1,13.0,4.1,No
168,Month-to-Month,Electronic Check,Fiber Optic,No,No,Yes,High,No,52.1,763.0,35077.0,3,0,89.5,3.3,No
169,Month-to-Month,Electronic Check,DSL,No,Yes,Yes,Low,Yes,6.4,3547.0,22359.0,1,2,30.5,4.1,Yes
170,Month-to-Month,Electronic Check,DSL,Yes,No,Yes,Medium,No,12.6,2943.0,38382.0,1,2,46.0,4.7,No
171,Month-to-Month,Electronic Check,DSL,No,No,No,High,No,68.3,2010.0,144559.0,4,1,80.8,3.9,No
172,Month-to-Month,Electronic Check,None,No,No,No,Medium,No,28.5,4701.0,132313.0,3,1,,4.5,No
173,Month-to-Month,Credit Card,Fiber Optic,Yes,No,No,High,Yes,14.6,3776.0,54712.0,5,1,19.2,3.8,Yes
174,Month-to-Month,Mailed Check,DSL,Yes,Yes,Yes,Medium,No,72.0,956.0,69844.0,0,1,41.7,5.0,No
175,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,No,High,No,25.5,4793.0,128740.0,4,1,94.1,4.8,Yes
176,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,Low,Yes,37.4,2392.0,90235.0,2,0,23.4,3.0,Yes
177,Month-to-Month,Bank Transfer,DSL,No,Yes,No,Medium,No,65.4,3711.0,248508.0,2,0,41.3,5.0,No
178,Month-to-Month,Electronic Check,None,Yes,No,No,High,No,7.0,2044.0,14726.0,0,0,,2.5,No
179,Month-to-Month,Credit Card,None,No,No,Yes,Low,No,14.1,3144.0,47348.0,1,1,,4.2,Yes
180,Month-to-Month,Bank Transfer,DSL,Yes,No,Yes,High,No,38.1,4196.0,156641.0,2,3,58.4,4.0,No
181,One Year,Mailed Check,Fiber Optic,Yes,No,No,Medium,No,8.6,3432.0,28825.0,1,2,2.4,4.7,No
182,Two Year,Mailed Check,DSL,No,Yes,No,Low,No,13.8,5046.0,71212.0,3,0,54.2,3.5,No
183,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,Medium,No,26.4,3866.0,100829.0,2,1,37.4,3.0,Yes
184,One Year,Electronic Check,Fiber Optic,No,Yes,No,High,No,19.6,3894.0,77124.0,3,1,58.8,4.0,No
185,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,No,Medium,No,34.3,5754.0,198522.0,1,3,57.3,4.2,Yes
186,Month-to-Month,Electronic Check,DSL,Yes,No,No,Low,Yes,10.5,6061.0,63814.0,1,2,42.1,2.3,Yes
187,Month-to-Month,Bank Transfer,DSL,Yes,Yes,No,Medium,No,16.1,3313.0,54859.0,0,1,78.8,3.8,No
188,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,No,Low,Yes,28.9,2725.0,76368.0,0,1,46.0,3.8,No
189,Month-to-Month,Bank Transfer,DSL,No,Yes,No,Low,No,3.9,1934.0,7243.0,2,2,85.5,2.7,No
190,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,No,Medium,Yes,39.8,3764.0,144098.0,2,1,36.5,5.0,No
191,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,Medium,No,20.5,4784.0,102523.0,0,1,61.9,5.0,No
192,Month-to-Month,Bank Transfer,None,Yes,Yes,No,Medium,No,27.8,5080.0,130859.0,1,3,,3.7,No
193,Two Year,Credit Card,Fiber Optic,No,No,No,High,Yes,32.5,5690.0,184938.0,4,1,46.4,3.9,No
194,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,No,High,No,28.3,4384.0,112961.0,3,0,73.9,3.2,No
195,Month-to-Month,Electronic Check,DSL,No,No,No,High,No,22.8,4302.0,91979.0,4,1,93.0,2.4,No
196,Month-to-Month,Credit Card,DSL,Yes,Yes,No,Low,Yes,20.1,2433.0,47908.0,1,3,55.2,3.7,No
197,Month-to-Month,Credit Card,DSL,Yes,No,No,Medium,No,56.7,2191.0,123190.0,3,3,83.8,4.3,No
198,One Year,Mailed Check,DSL,No,No,No,High,No,50.8,1454.0,69955.0,0,2,41.3,3.7,No
199,Month-to-Month,Credit Card,None,Yes,Yes,No,Medium,No,22.2,4308.0,92733.0,4,1,,2.9,No
200,Month-to-Month,Electronic Check,DSL,No,Yes,No,High,No,63.8,5089.0,347152.0,2,0,22.8,3.4,No
201,Month-to-Month,Bank Transfer,DSL,No,No,No,Medium,Yes,16.0,2335.0,36771.0,1,1,35.9,4.0,No
202,Two Year,Credit Card,Fiber Optic,Yes,Yes,Yes,Medium,No,36.8,900.0,33217.0,1,0,4.2,2.9,No
203,One Year,Credit Card,DSL,Yes,No,No,Medium,No,62.2,3278.0,201003.0,2,0,21.2,4.9,No
204,Month-to-Month,Bank Transfer,Fiber Optic,Yes,No,No,Medium,No,22.1,3461.0,77096.0,0,1,38.3,2.9,No
205,Two Year,Bank Transfer,DSL,No,No,No,Medium,No,20.2,5674.0,116370.0,4,0,50.9,5.0,No
206,Two Year,Credit Card,DSL,No,Yes,No,High,No,40.5,4772.0,200949.0,2,1,55.8,3.4,No
207,Two Year,Credit Card,Fiber Optic,No,Yes,No,Low,No,54.0,3206.0,170437.0,1,6,27.4,4.7,No
208,Month-to-Month,Bank Transfer,None,No,Yes,No,High,No,72.0,2561.0,187660.0,0,0,,3.6,No
209,One Year,Electronic Check,None,No,Yes,No,Medium,No,21.2,3447.0,72833.0,2,4,,2.8,No
210,Two Year,Mailed Check,None,No,Yes,No,High,No,42.7,6647.0,301779.0,0,2,,3.1,No
211,Month-to-Month,Electronic Check,DSL,No,No,Yes,Medium,Yes,20.4,8381.0,152661.0,0,0,55.5,3.7,Yes
212,One Year,Credit Card,Fiber Optic,No,Yes,No,Medium,No,30.2,3905.0,120420.0,2,1,83.9,3.1,No
213,One Year,Bank Transfer,Fiber Optic,No,No,No,Low,No,60.1,500.0,31312.0,0,1,13.7,4.8,No
214,Two Year,Mailed Check,Fiber Optic,No,No,No,Medium,No,18.7,1359.0,24127.0,5,1,47.4,2.8,No
215,One Year,Credit Card,Fiber Optic,No,Yes,No,Low,No,17.8,1325.0,23128.0,0,2,30.2,4.1,No
216,Month-to-Month,Bank Transfer,Fiber Optic,No,No,No,Medium,No,28.8,2277.0,66426.0,2,2,44.1,5.0,No
217,One Year,Electronic Check,None,Yes,No,No,Low,No,51.3,3970.0,207358.0,2,0,,5.0,No
218,Month-to-Month,Electronic Check,DSL,Yes,Yes,No,Medium,No,24.7,3496.0,90402.0,4,1,4.2,3.3,No
219,One Year,Bank Transfer,Fiber Optic,No,Yes,No,Low,No,64.6,6139.0,400203.0,3,0,35.5,3.4,No
220,Month-to-Month,Electronic Check,DSL,No,Yes,No,Medium,Yes,3.7,4114.0,16041.0,2,1,18.3,2.4,Yes
221,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,No,Medium,No,55.7,6626.0,371821.0,0,1,14.2,1.7,Yes
222,Month-to-Month,Credit Card,Fiber Optic,No,Yes,No,High,No,59.3,4336.0,256763.0,0,2,77.4,,No
