claim_id,policy_type,claim_type,incident_location_type,witnesses_present,agent_flagged_history,police_report_filed,claimant_age,policy_tenure_years,prior_claims_count,days_to_report_claim,claim_amount_kes,estimated_repair_cost_kes,claim_amount_to_policy_limit_ratio,customer_credit_score,claim_status
45,Auto,Collision,Urban,Yes,No,No,36.0,11.5,1,7.4,200005.0,179611.0,0.465,567.3194187799926,Legitimate
46,Health,Medical,Urban,Yes,No,,53.0,7.4,1,7.2,174809.0,164004.0,0.181,716.4155264868853,Legitimate
47,Property,Fire,Urban,Yes,No,No,48.0,2.4,2,1.2,101908.0,98905.0,0.249,661.122325993708,Legitimate
48,Life,Collision,Suburban,Yes,No,,39.0,5.5,1,4.8,44457.0,42494.0,0.763,621.2576896172122,Legitimate
49,Health,Fire,Suburban,No,No,Yes,65.0,6.4,0,18.8,30949.0,33985.0,0.404,524.9288535975636,Legitimate
50,Life,Theft,Suburban,No,No,,49.0,2.8,0,3.9,100254.0,97937.0,0.319,606.0750696123076,Legitimate
51,Auto,Medical,Urban,Yes,No,,38.0,4.1,1,2.6,174311.0,174644.0,0.172,617.7296376228162,Legitimate
52,Auto,Medical,Rural,No,No,,44.0,1.6,2,4.7,232958.0,207928.0,0.378,764.2951070009404,Legitimate
53,Auto,Theft,Urban,Yes,No,Yes,20.0,2.9,0,5.6,34675.0,35207.0,0.351,644.2811135490789,Legitimate
54,Property,Medical,Rural,Yes,No,,46.0,1.2,0,4.5,202166.0,224893.0,0.419,786.5877761448869,Legitimate
55,Life,Collision,Urban,Yes,Yes,,48.0,4.1,1,5.6,203372.0,180594.0,0.308,574.1910517354773,Legitimate
56,Auto,Medical,Suburban,Yes,No,,26.0,2.8,1,0.7,115306.0,111752.0,0.221,698.5388518966123,Legitimate
57,Auto,Theft,Urban,No,No,Yes,41.0,4.6,1,1.1,322340.0,303377.0,0.299,783.6528300125125,Legitimate
58,Life,Collision,Rural,No,No,,40.0,1.8,3,3.2,52064.0,48343.0,0.191,650.9780187115547,Legitimate
59,Property,Collision,Suburban,No,No,Yes,36.0,10.1,1,9.4,202865.0,210115.0,0.516,814.9944639954397,Legitimate
60,Auto,Collision,Suburban,No,Yes,No,30.0,5.9,1,6.9,113058.0,105267.0,0.187,788.4241626834322,Legitimate
61,Auto,Collision,Suburban,No,No,Yes,35.0,2.1,1,9.2,229501.0,240597.0,0.317,627.0722308358769,Legitimate
62,Health,Liability,Suburban,No,No,Yes,29.0,6.0,0,4.6,468248.0,488808.0,0.195,605.5815605671697,Legitimate
63,Health,Fire,Suburban,Yes,No,Yes,28.0,3.3,4,11.2,191948.0,222446.0,0.171,416.2392210896849,Legitimate
64,Auto,Theft,Rural,No,No,Yes,59.0,6.6,1,4.2,461932.0,482807.0,0.295,525.9560447787458,Legitimate
65,Property,Collision,Rural,Yes,No,Yes,26.0,4.3,1,10.2,347407.0,379324.0,0.282,771.3448469157565,Legitimate
66,Health,Medical,Suburban,No,No,,46.0,6.2,1,4.1,72135.0,67675.0,0.539,571.2812654568871,Fraudulent
67,Property,Theft,Rural,Yes,No,Yes,55.0,1.9,0,2.8,105561.0,120516.0,0.177,674.0537972064395,Legitimate
68,Life,Collision,Rural,Yes,No,,41.0,2.5,1,0.8,89653.0,99372.0,0.412,584.8637799106536,Legitimate
69,Health,Medical,Suburban,Yes,No,,37.0,4.5,0,3.1,17874.0,17567.0,0.212,638.2041664773689,Legitimate
70,Property,Medical,Suburban,Yes,No,,37.0,3.3,1,10.9,130502.0,120846.0,0.203,650.9869754171275,Legitimate
71,Auto,Liability,Suburban,Yes,No,Yes,68.0,4.0,0,5.6,82917.0,64009.0,0.225,678.5999340108343,Legitimate
72,Life,Collision,Urban,Yes,No,,42.0,9.6,0,10.6,119362.0,124511.0,0.316,,Legitimate
73,Health,Medical,Rural,No,No,,50.0,1.7,2,5.8,103360.0,113405.0,0.243,617.2623908773833,Legitimate
74,Health,Collision,Urban,Yes,No,Yes,45.0,3.9,0,2.0,180017.0,176237.0,0.319,753.2084090566058,Legitimate
75,Property,Collision,Urban,No,No,Yes,27.0,8.7,1,6.9,157473.0,136799.0,0.179,618.69173302784,Legitimate
76,Auto,Collision,Rural,Yes,No,No,35.0,5.6,0,1.9,301711.0,290996.0,0.215,754.7842581271734,Legitimate
77,Health,Theft,Urban,Yes,No,Yes,54.0,13.7,0,14.7,322531.0,344356.0,0.224,747.4259837578243,Legitimate
78,Property,Medical,Suburban,Yes,No,,43.0,9.5,2,13.7,94653.0,89538.0,0.247,812.0931379362521,Legitimate
79,Auto,Medical,Suburban,Yes,Yes,,34.0,1.3,1,2.5,228160.0,216561.0,0.675,652.130287062213,Legitimate
80,Property,Collision,Suburban,No,Yes,No,34.0,4.5,1,1.3,407926.0,372796.0,0.211,753.9355199717073,Fraudulent
81,Auto,Theft,Suburban,No,Yes,Yes,18.0,2.8,0,11.3,286255.0,253160.0,0.337,537.4798800638046,Legitimate
82,Auto,Collision,Urban,Yes,No,No,23.0,8.8,0,11.1,113727.0,115548.0,0.263,791.3414751701778,Legitimate
83,Life,Collision,Urban,Yes,No,,29.0,6.8,2,2.6,30657.0,31558.0,0.17,692.0680103637957,Legitimate
84,Life,Theft,Suburban,Yes,No,,18.0,4.6,0,0.7,226758.0,226728.0,0.748,609.1035977695444,Legitimate
85,Property,Collision,Rural,No,No,No,44.0,2.2,1,9.8,276337.0,282774.0,0.221,602.6255198496755,Legitimate
86,Property,Medical,Rural,No,No,,46.0,2.3,0,3.7,177264.0,166544.0,0.674,571.4393899075363,Legitimate
87,Auto,Theft,Urban,No,No,No,49.0,4.9,2,5.4,242115.0,247422.0,0.275,,Legitimate
88,Auto,Medical,Urban,No,No,,25.0,1.8,2,6.6,31914.0,30162.0,0.285,466.19216799824926,Legitimate
89,Property,Medical,Suburban,Yes,No,,50.0,4.0,1,9.6,88248.0,94760.0,0.661,746.7808789731914,Legitimate
90,Property,Collision,Rural,No,No,Yes,47.0,11.0,0,3.0,257407.0,255437.0,0.558,565.4702246122893,Legitimate
91,Auto,Collision,Suburban,Yes,Yes,Yes,31.0,3.3,0,4.9,431205.0,473267.0,0.212,624.5441420566501,Legitimate
92,Auto,Collision,Urban,No,No,Yes,42.0,5.6,4,8.6,41703.0,42677.0,0.582,519.4996154351588,Fraudulent
93,Property,Collision,Suburban,No,No,Yes,34.0,3.3,0,3.1,208904.0,202973.0,0.571,769.0683980552824,Legitimate
94,Property,Collision,Urban,Yes,No,No,27.0,1.5,1,1.5,89855.0,92266.0,0.417,748.1314479506855,Legitimate
95,Property,Collision,Urban,Yes,No,Yes,24.0,2.4,2,1.0,227777.0,246013.0,0.178,701.1638466773156,Legitimate
96,Life,Fire,Urban,Yes,No,,25.0,3.7,0,3.6,149395.0,141010.0,0.603,702.9083067106978,Legitimate
97,Health,Collision,Suburban,No,No,No,18.0,9.4,0,13.4,159036.0,161418.0,0.655,599.194252574022,Fraudulent
98,Property,Medical,Urban,No,No,,33.0,6.8,3,2.9,86317.0,93974.0,0.402,511.42667869993056,Legitimate
99,Auto,Collision,Suburban,No,No,No,54.0,2.3,1,6.0,142809.0,153400.0,0.196,774.6029718646564,Fraudulent
100,Auto,Collision,Urban,No,No,Yes,51.0,2.7,0,13.7,144623.0,157269.0,0.264,825.5848641248634,Legitimate
101,Health,Medical,Urban,Yes,No,,27.0,8.6,0,2.7,192933.0,214275.0,0.267,704.0518779675061,Legitimate
102,Health,Collision,Suburban,Yes,No,Yes,72.0,1.0,2,1.9,202614.0,206367.0,0.211,656.678263779068,Legitimate
103,Auto,Collision,Urban,Yes,No,Yes,37.0,7.2,1,12.7,573752.0,512736.0,0.279,724.9817558953363,Legitimate
104,Property,Collision,Suburban,Yes,Yes,Yes,50.0,2.0,0,0.8,17877.0,18296.0,0.258,572.3715524053245,Legitimate
105,Auto,Collision,Urban,Yes,No,No,31.0,11.0,0,2.7,538983.0,490413.0,0.29,761.6689651355508,Legitimate
106,Auto,Theft,Urban,No,No,No,25.0,3.7,0,1.5,235947.0,247807.0,0.43,717.6611364065767,Legitimate
107,Property,Collision,Urban,Yes,No,No,18.0,7.0,1,7.5,117970.0,113229.0,0.321,695.7638367384677,Legitimate
108,Property,Collision,Rural,Yes,No,Yes,39.0,7.8,1,2.0,86807.0,86940.0,0.508,680.9581048205083,Legitimate
109,Property,Fire,Suburban,No,No,Yes,76.0,2.1,1,6.9,92698.0,94980.0,0.537,508.12003012409275,Fraudulent
110,Property,Collision,Suburban,No,No,Yes,53.0,3.5,2,10.8,162532.0,138317.0,0.527,548.6968649048194,Legitimate
111,Property,Theft,Urban,Yes,No,Yes,33.0,10.4,2,4.0,290842.0,257552.0,0.171,731.509997071362,Legitimate
112,Health,Collision,Urban,Yes,No,Yes,47.0,8.2,1,10.9,64370.0,71235.0,0.208,583.3741494937312,Legitimate
113,Auto,Liability,Urban,Yes,No,Yes,57.0,2.1,2,5.0,312516.0,308613.0,0.716,515.8864006559969,Legitimate
114,Auto,Collision,Urban,Yes,No,Yes,30.0,3.9,0,2.2,199122.0,191794.0,0.204,708.8175462574054,Legitimate
115,Auto,Liability,Urban,Yes,No,No,47.0,5.7,2,18.6,311988.0,320209.0,0.615,706.2721258222003,Legitimate
116,Health,Collision,Urban,No,No,No,49.0,13.7,0,8.2,283981.0,289623.0,0.178,810.7229862860122,Legitimate
117,Life,Collision,Urban,Yes,No,,42.0,3.2,1,18.3,233930.0,267757.0,0.305,768.0827493669523,Legitimate
118,Property,Medical,Suburban,Yes,No,,42.0,3.5,0,3.6,97905.0,95372.0,0.475,634.4821945952995,Legitimate
119,Health,Medical,Urban,Yes,No,,40.0,2.7,0,17.6,106027.0,108655.0,0.212,,Legitimate
120,Auto,Collision,Urban,Yes,No,Yes,43.0,5.1,0,13.9,117210.0,115737.0,0.415,672.3757172561955,Legitimate
121,Health,Theft,Urban,No,No,Yes,40.0,8.0,0,4.8,143636.0,141919.0,0.231,678.3462542955862,Legitimate
122,Health,Collision,Urban,Yes,No,No,26.0,2.1,1,10.8,268134.0,278522.0,0.432,558.1195338499426,Legitimate
123,Auto,Collision,Suburban,No,No,Yes,34.0,6.4,0,1.9,253098.0,260760.0,0.698,727.3758896445131,Legitimate
124,Property,Collision,Suburban,Yes,No,Yes,31.0,2.2,1,4.8,500313.0,519039.0,0.201,791.6717266870626,Legitimate
125,Life,Liability,Suburban,No,No,,50.0,3.0,1,1.1,739654.0,721258.0,0.182,723.7090766314191,Legitimate
126,Auto,Collision,Suburban,No,No,Yes,33.0,1.7,0,0.8,200805.0,211186.0,0.258,595.4812605682703,Legitimate
127,Health,Theft,Urban,No,No,Yes,40.0,1.8,1,6.6,555600.0,574462.0,0.185,553.3597505199948,Legitimate
128,Health,Medical,Suburban,Yes,No,,49.0,6.6,0,5.2,26040.0,29324.0,0.389,703.1669703570152,Legitimate
129,Life,Medical,Suburban,Yes,No,,34.0,9.7,4,3.5,147095.0,168146.0,0.191,635.0496981956439,Legitimate
130,Auto,Theft,Urban,No,No,No,32.0,7.8,2,0.2,359285.0,388441.0,0.226,,Legitimate
131,Property,Medical,Urban,Yes,No,,50.0,6.8,1,2.2,154686.0,136394.0,0.257,651.8952723924773,Legitimate
132,Property,Medical,Rural,No,No,,73.0,2.8,1,2.3,70861.0,74111.0,0.295,733.5805926251929,Legitimate
133,Auto,Medical,Urban,No,No,,40.0,5.9,2,0.9,533908.0,564676.0,0.199,673.4530765905567,Legitimate
134,Health,Collision,Urban,Yes,No,Yes,18.0,4.6,0,3.6,178861.0,202768.0,0.329,,Legitimate
135,Auto,Collision,Suburban,No,No,No,43.0,3.9,0,6.3,241825.0,234565.0,0.174,545.3568663784215,Legitimate
136,Life,Medical,Urban,Yes,No,,40.0,1.2,1,0.1,145055.0,147567.0,0.289,678.9787162638287,Legitimate
137,Health,Liability,Suburban,Yes,No,No,54.0,2.2,0,8.7,38234.0,40958.0,0.181,792.5019149502451,Legitimate
138,Health,Fire,Suburban,No,No,No,27.0,16.1,0,8.4,736835.0,770393.0,0.422,593.732190423163,Legitimate
139,Auto,Collision,Suburban,Yes,No,Yes,33.0,3.5,0,3.7,122800.0,118647.0,0.185,772.1252560402603,Legitimate
140,Auto,Medical,Urban,No,Yes,,49.0,6.8,2,3.6,335922.0,342493.0,0.312,,Legitimate
141,Property,Liability,Suburban,No,No,Yes,33.0,1.4,0,13.1,237508.0,234845.0,0.296,549.6967677994987,Legitimate
142,Auto,Collision,Urban,Yes,No,No,35.0,8.4,1,1.2,464461.0,388659.0,0.28,583.4043318225717,Legitimate
143,Property,Liability,Urban,Yes,No,Yes,41.0,2.4,2,4.4,99335.0,100484.0,0.286,727.1126071231045,Legitimate
144,Health,Theft,Urban,Yes,No,No,65.0,6.0,3,2.4,192124.0,198105.0,0.569,662.3099743871151,Legitimate
145,Auto,Collision,Suburban,No,Yes,Yes,64.0,8.4,1,10.6,113006.0,118749.0,0.199,589.7437426885324,Legitimate
146,Property,Collision,Urban,No,No,Yes,51.0,4.6,1,9.2,85977.0,93910.0,0.319,671.4936115456032,Legitimate
147,Health,Theft,Suburban,Yes,Yes,Yes,46.0,2.2,1,4.6,48879.0,48320.0,0.299,634.8752533920168,Fraudulent
148,Life,Collision,Suburban,Yes,No,,51.0,3.9,0,8.5,286969.0,314687.0,0.185,682.8425590954579,Legitimate
149,Auto,Collision,Rural,No,No,No,36.0,2.4,0,0.4,115294.0,123570.0,0.675,384.3270671776817,Legitimate
150,Auto,Fire,Urban,Yes,No,Yes,46.0,11.9,1,8.4,130128.0,122655.0,0.265,609.2978682551783,Legitimate
151,Health,Collision,Urban,Yes,No,Yes,29.0,3.1,1,9.0,197094.0,192165.0,0.173,498.16368472718005,Legitimate
152,Auto,Collision,Urban,No,No,No,47.0,0.7,0,5.2,201088.0,191928.0,0.386,683.0860028470354,Legitimate
153,Property,Collision,Suburban,Yes,No,Yes,43.0,5.0,1,2.0,127610.0,144824.0,0.286,546.4504308372988,Legitimate
154,Auto,Liability,Rural,No,No,Yes,44.0,7.4,2,2.1,268460.0,296178.0,0.172,706.2531350918789,Legitimate
155,Property,Collision,Urban,No,No,Yes,48.0,6.3,1,2.4,194762.0,196781.0,0.193,757.3743677364816,Legitimate
156,Auto,Medical,Suburban,No,No,,43.0,3.9,0,11.6,245825.0,222554.0,0.175,766.82288597529,Legitimate
157,Health,Medical,Urban,No,Yes,,44.0,15.8,1,8.9,230415.0,245518.0,0.329,768.7790763579553,Legitimate
158,Auto,Theft,Suburban,No,No,Yes,47.0,3.1,1,3.4,34021.0,38458.0,0.262,516.7134516737565,Legitimate
159,Auto,Medical,Urban,Yes,No,,42.0,2.1,0,0.5,175589.0,176228.0,0.475,685.6136932268151,Legitimate
160,Health,Medical,Urban,No,No,,36.0,2.8,2,27.9,79209.0,87406.0,0.212,610.5854691633136,Legitimate
161,Auto,Collision,Urban,Yes,No,Yes,18.0,9.4,3,1.7,25178.0,26670.0,0.198,790.451393125694,Legitimate
162,Property,Theft,Suburban,Yes,No,No,57.0,3.6,1,4.7,407231.0,387014.0,0.198,766.020847672195,Legitimate
163,Property,Medical,Rural,Yes,No,,43.0,18.4,1,4.8,82378.0,82462.0,0.54,454.34917604875983,Legitimate
164,Property,Theft,Suburban,Yes,No,Yes,60.0,6.4,0,12.2,110748.0,107027.0,0.349,502.09888863041465,Legitimate
165,Auto,Fire,Suburban,No,No,Yes,44.0,1.8,2,9.8,250141.0,243177.0,0.305,716.1514382328733,Fraudulent
166,Life,Collision,Suburban,No,No,,54.0,6.1,2,3.7,90502.0,92399.0,0.397,850.0,Legitimate
167,Health,Collision,Suburban,Yes,No,Yes,41.0,2.2,1,2.4,127167.0,119142.0,0.37,792.2977294018758,Legitimate
168,Property,Medical,Suburban,No,No,,47.0,0.5,2,2.9,227316.0,239830.0,0.197,,Legitimate
169,Auto,Theft,Rural,Yes,No,Yes,44.0,6.2,1,5.0,602141.0,543582.0,0.431,582.6782752598383,Legitimate
170,Health,Collision,Urban,Yes,No,Yes,31.0,16.8,1,5.1,268128.0,253995.0,0.594,724.778492356607,Legitimate
171,Auto,Collision,Urban,Yes,Yes,Yes,43.0,6.4,1,1.5,134798.0,122195.0,0.301,731.8627107059042,Legitimate
172,Property,Liability,Suburban,Yes,No,Yes,33.0,3.0,0,2.8,44394.0,42523.0,0.205,425.5644461697216,Legitimate
173,Auto,Liability,Urban,Yes,Yes,Yes,50.0,2.6,1,1.3,92026.0,81413.0,0.692,586.9470419324946,Legitimate
174,Life,Fire,Suburban,Yes,No,,19.0,0.6,1,3.1,160823.0,166069.0,0.227,748.7912354576116,Legitimate
175,Life,Medical,Suburban,No,No,,39.0,2.6,1,3.8,52792.0,57273.0,0.202,606.5192204952333,Legitimate
176,Auto,Medical,Urban,Yes,No,,56.0,3.0,0,0.9,94371.0,104191.0,0.214,572.725816421568,Legitimate
177,Life,Medical,Urban,Yes,No,,31.0,3.6,0,6.2,165120.0,145985.0,0.439,611.4628771871802,Legitimate
178,Property,Theft,Urban,Yes,Yes,No,34.0,2.0,0,13.4,310051.0,349219.0,0.168,739.5976205055583,Legitimate
179,Health,Collision,Suburban,Yes,No,Yes,69.0,2.6,2,6.5,88039.0,82592.0,0.28,804.5660907473994,Legitimate
180,Auto,Theft,Urban,No,No,No,48.0,2.1,0,3.5,23167.0,22680.0,0.463,541.3269997793408,Legitimate
181,Health,Collision,Suburban,Yes,No,Yes,37.0,7.6,0,0.3,227273.0,231858.0,0.245,697.9760203308937,Legitimate
182,Property,Medical,Rural,Yes,No,,32.0,7.3,0,9.0,38462.0,41868.0,0.219,572.7683448152475,Legitimate
183,Property,Medical,Suburban,Yes,Yes,,31.0,5.1,1,2.0,99453.0,94148.0,0.667,573.5470363305266,Legitimate
184,Life,Liability,Suburban,Yes,No,,29.0,4.8,1,4.4,339540.0,325760.0,0.183,720.886267837151,Legitimate
185,Property,Collision,Urban,Yes,No,Yes,52.0,3.5,0,2.6,362580.0,413646.0,0.204,796.5212480366177,Legitimate
186,Auto,Theft,Suburban,Yes,No,Yes,37.0,2.1,2,5.7,140698.0,128076.0,0.352,545.4237776974365,Legitimate
187,Health,Theft,Suburban,No,No,Yes,27.0,10.8,0,16.0,384769.0,387399.0,0.37,633.4753414035177,Legitimate
188,Auto,Theft,Suburban,Yes,Yes,Yes,45.0,4.0,2,3.6,429163.0,420277.0,0.176,611.2424987957652,Legitimate
189,Auto,Collision,Urban,Yes,No,No,43.0,5.8,3,7.8,178778.0,165784.0,0.243,676.5785525791842,Legitimate
190,Life,Liability,Urban,Yes,No,,44.0,8.1,1,5.6,382451.0,365895.0,0.187,566.1910640303446,Legitimate
191,Property,Collision,Suburban,Yes,No,Yes,34.0,1.2,1,6.8,296830.0,265638.0,0.726,491.48141073636316,Legitimate
192,Auto,Medical,Suburban,No,No,,31.0,19.3,1,2.5,62728.0,58996.0,0.188,786.1739297897498,Legitimate
193,Health,Collision,Urban,Yes,No,Yes,33.0,15.4,2,5.6,97157.0,90912.0,0.329,589.1585852795018,Legitimate
194,Auto,Theft,Urban,Yes,No,Yes,54.0,9.5,1,1.3,48428.0,51300.0,0.168,653.4320940155776,Legitimate
195,Life,Liability,Urban,No,No,,57.0,2.1,0,0.8,76369.0,75324.0,0.62,491.53619679870496,Legitimate
196,Health,Theft,Suburban,Yes,No,Yes,45.0,4.3,1,7.1,138556.0,134765.0,0.37,686.1120713563619,Legitimate
197,Life,Theft,Suburban,Yes,No,,39.0,1.1,1,6.7,250816.0,257916.0,0.65,629.1951837830196,Legitimate
198,Property,Collision,Urban,No,Yes,No,70.0,11.9,2,10.0,241758.0,263666.0,0.459,806.6570657729108,Legitimate
199,Property,Fire,Suburban,No,No,Yes,29.0,1.6,2,12.8,206018.0,207483.0,0.689,,Fraudulent
200,Life,Theft,Suburban,No,No,,30.0,10.1,1,4.0,304634.0,326307.0,0.204,612.8113920955137,Legitimate
201,Property,Collision,Suburban,Yes,No,No,52.0,1.5,0,7.1,137881.0,145483.0,0.284,,Legitimate
202,Auto,Medical,Urban,Yes,No,,27.0,3.3,0,1.3,437064.0,431935.0,0.384,585.8151476420559,Legitimate
203,Health,Theft,Rural,No,No,Yes,44.0,4.5,0,3.1,256147.0,245169.0,0.328,830.8199602017617,Legitimate
204,Property,Collision,Suburban,No,No,Yes,41.0,5.7,2,0.7,45253.0,44214.0,0.825,503.11266806074946,Legitimate
205,Auto,Collision,Urban,No,No,Yes,49.0,4.9,2,1.4,58854.0,62482.0,0.18,839.415775124832,Legitimate
206,Auto,Medical,Urban,No,No,,66.0,8.3,0,16.5,279706.0,268535.0,0.564,590.4072627503633,Legitimate
207,Auto,Fire,Suburban,Yes,No,No,39.0,16.1,2,1.4,214117.0,223966.0,0.333,544.5666048602985,Legitimate
208,Property,Collision,Suburban,Yes,No,Yes,44.0,5.7,0,1.7,162512.0,159897.0,0.309,518.2165766936246,Legitimate
209,Auto,Collision,Urban,No,No,Yes,51.0,1.8,1,6.9,92528.0,91339.0,0.442,686.5191401980132,Legitimate
210,Auto,Medical,Suburban,Yes,No,,20.0,3.9,0,8.4,101142.0,110628.0,0.179,664.320510916944,Legitimate
211,Health,Collision,Urban,Yes,No,Yes,38.0,7.5,1,2.7,227584.0,235882.0,0.338,659.7607891040303,Legitimate
212,Property,Collision,Rural,Yes,No,No,38.0,2.3,0,6.9,109996.0,101259.0,0.195,561.658847238103,Legitimate
213,Life,Collision,Suburban,No,No,,78.0,8.1,1,1.5,66974.0,72224.0,0.185,550.7473700319588,Legitimate
214,Auto,Theft,Urban,No,No,Yes,43.0,9.3,0,2.1,131192.0,132052.0,0.3,654.2881562358015,Legitimate
215,Life,Medical,Suburban,Yes,No,,46.0,4.4,0,4.9,32503.0,32677.0,0.2,582.5895848534653,Legitimate
216,Life,Medical,Urban,Yes,Yes,,41.0,13.0,0,11.8,178302.0,188937.0,0.422,701.4956471461522,Legitimate
217,Property,Theft,Suburban,Yes,Yes,No,66.0,0.5,1,5.5,90295.0,104330.0,0.523,585.6710536381405,Fraudulent
